Video ID,Title,View Count,Like Count,Comment Count,Category
"twMi1Y3F-F8","how to change you're name on Minecraft Education Edition","78873","729","0","Gaming"
"jLzyY9Mx4Wg","WHAT ISAAC GAME TO BUY!?  #thebindingofisaacrepentance #gaming #guide","699734","40773","634","Gaming"
"UzEAJ8rFWfM","Gaming PC vs Editing PC","314453","30036","627","Gaming"
"ajGVI-km1Z0","The Ultimate Zero RGB Dream Gaming PC Build!","168494","6810","506","Gaming"
"LqhNWrOSbVI","The BEST mouse for EVERY GAMER in 2024","95427","2077","278","Gaming"
"niin3IPaLv4","I Had ONLY $295 To Build A Gaming Setup…","228014","3902","465","Gaming"
"EA0YC9m6D4s","Gaming Setup / Room Tour! - 2023 - Ultimate Small Room Setup!","2170769","52441","1748","Gaming"
"g5LOvdjeGf0","Finally My New gaming pc 😍","1426701","70206","6024","Gaming"
"84cI80ZCHDI","Literally the Best $1000 Gaming PC Build!","277309","9774","796","Gaming"
"96NYUvsX6nU","Gaming test - ROG Phone 9 with Snapdragon 8 Elite!","13082","603","268","Gaming"
"4-lAbXN9QtQ","Top 25 NEW Single Player Games of 2024","473553","14354","1212","Gaming"
"6fXtGn1kynI","Top 10 NEW Games of November 2024","1038383","23355","1842","Gaming"
"XXLY8kEdR1c","Get It Together, Intel: Core Ultra 9 285K CPU Review & Benchmarks vs. 7800X3D, 9950X, More","461279","21428","3231","Gaming"
"F_JKlvNuMak","10 Brand NEW Games With INSANE Graphics","452255","13457","1270","Gaming"
"DiKTbnGMpG4","My Mom CONTROLS my Fortnite Game 😡","2623257","28477","4496","Gaming"
"SH6-sYKToeQ","CRAZIEST GAME WE'VE SEEN IN YEARS, GTA 6 RELEASE DATE RECONFIRMED & MORE","755286","23982","1861","Gaming"
"Gx4uXZyplR8","My DREAM Gaming Room Setup is FINALLY Finished! Complete Walkthrough of Every Project","62659","1981","84","Gaming"
"XXLY8kEdR1c","Get It Together, Intel: Core Ultra 9 285K CPU Review & Benchmarks vs. 7800X3D, 9950X, More","461279","21428","3231","Gaming"
"csDSTMPrnvo","Best Nightcore Gaming Mix 2024 ♫ Gaming Music Mix ♫ New Music 2024 EDM Gaming Music","280034","4793","156","Gaming"
"k1i9923qQhc","Should You Buy A Gaming Laptop In 2024! ft. Acer Nitro V16 2024","40654","1132","122","Gaming"
"xt46qrHsPGA","I Built a SECRET GAMING ROOM in my House","6265438","279480","13027","Gaming"
"1B_3XUvMt0M","The BEST Gaming Console in 2024 is...","353398","10560","917","Gaming"
"aca__tRgQWw","Stop Buying EXPENSIVE Gaming Monitors, Buy These Instead!","84715","2828","228","Gaming"
"yIVzR7AMpRQ","Picks for EVERY Top 25 game in College Football [Full Week 12 Predictions]","46040","448","66","Gaming"
"9QXxid7t9oM","We Won Every Game at the State Fair!","4518724","99863","2157","Gaming"
"SiHQG68HAlU","50 BEST PC Games of the Last 5 Years","448268","13833","1202","Gaming"
"4-lAbXN9QtQ","Top 25 NEW Single Player Games of 2024","473553","14354","1212","Gaming"
"W18j3d5LkOw","Gaming Music 2023 | Best Music Mix || Best of NoCopyrightSounds","1161909","17273","317","Gaming"
"4HQUO5W8Zk4","$450 ALL NEW Parts Gaming PC Build Guide - Step-by-Step","45272","1883","218","Gaming"
"2QvBc4zZWRQ","Bad Parenting Horror Game","1553489","63562","8186","Gaming"
"XlsnUsaLuu4","20 NEW Upcoming Games That Are Hard to Believe (2024-2025) | PC, PS5, Xbox Series X","73588","446","28","Gaming"
"K5AphFV34so","Top 25 MOST INSANE New Games from SUMMER GAME FEST coming in 2024 & 2025","1659300","12744","716","Gaming"
"SH6-sYKToeQ","CRAZIEST GAME WE'VE SEEN IN YEARS, GTA 6 RELEASE DATE RECONFIRMED & MORE","755286","23982","1861","Gaming"
"Iw4GCoI_CFA","Funniest Gaming Moments!","173692","6330","165","Gaming"
"GJjgwUwsoqo","Biggest Collection Verses of Hakson Pro Gaming vs Sneha Pro Gaming 😱 Garena free fire","699252","13671","2122","Gaming"
"Ujb1pspYZNs","We Found Secret Mimicker Tunnel In Our Minecraft World Ft. @ProBoiz95","583821","8900","306","Gaming"
"TOlIvcmrUFc","The Wiiiiiiiiiiiiiiide Gaming Setup","2133056","60611","2922","Gaming"
"0_Fi1GYOx3E","The Untold Story Of India's Gaming Industry [MINI-DOCUMENTARY]","91269","5606","290","Gaming"
"nhBMCWywG9Q","I PURCHASED MY DREAM CAR","2943495","362920","17112","Gaming"
"Gx4uXZyplR8","My DREAM Gaming Room Setup is FINALLY Finished! Complete Walkthrough of Every Project","62659","1981","84","Gaming"
"rPkEFqM5qwE","The FASTEST Gaming PC Build EVER! - Ryzen 7 9800X3D & RTX 4090 w/ Gameplay Benchmarks!","143965","3542","766","Gaming"
"8ScrQHHn7_k","The game you’ve all be waiting for… #Minecraft #retrogaming #gaming #pocketconsole #giftideas","9346278","344256","14141","Gaming"
"LqhNWrOSbVI","The BEST mouse for EVERY GAMER in 2024","95427","2077","278","Gaming"
"pxIYwpclFTw","TOP 7 FPS GAMES RANKED","1","0","0","Gaming"
"NxEYQpMORZM","Lions DOMINATE Jaguars for best 10-game start since 1934 | Game Recap","29323","406","74","Gaming"
"ZFTrwWQOe5Y","Retroid Pocket 5 In-Depth Review","252286","8252","1285","Gaming"
"6fXtGn1kynI","Top 10 NEW Games of November 2024","1038383","23355","1842","Gaming"
"Xe26rdkZISg","“The Truth About Mr Beast & DogPack404” Controversy, Twitch “Adpocalypse” Blame Game, & Today’s News","657811","26370","4319","Gaming"
"CC3YIP-2Hg4","Cooper Flagg & Jon Scheyer discuss Duke's loss to Kentucky in Champions Classic","31051","280","164","Gaming"
"yVJNZTf5M88","20 Best Recent Games That Are NOW DIRT CHEAP","911507","21535","1343","Gaming"
"sXenwvdtKcs","Trolling Villagers With Secret Ice Bunker In Minecraft!!!!!🥶🥶","850419","13397","431","Gaming"
